# Capacitor de 100uF
# Tempo      # Tensao

1.29    0.26
1.59    0.41
2.03    0.56
2.43    0.70
2.53    0.83
3.49    1.09
3.89    1.22
4.59    1.45
5.53    1.66
6.83    1.95
7.53    2.13
8.59    2.37
9.59    2.52
10.49   2.66
11.59   2.85
12.39   2.96
13.53   3.12
14.53   3.26
15.59   3.34
16.59   3.46
17.39   3.53
18.29   3.59
19.53   3.68
21.23   3.79
23.53   3.92
24.43   3.96
26.79   4.06
28.19   4.11
30.43   4.17
33.53   4.24
36.59   4.30
39.79   4.34
43.13   4.37
46.59   4.40
51.39   4.42
56.19   4.44
63.29   4.45

