# Curva de descarga
# Resistor de 100 k ohm, capacitor de 220 uF

# tempo (s)  tensão (V)
0.00    4.09
1.09    3.98
1.53    3.91
2.39    3.77
3.13    3.64
3.79    3.51
4.53    3.39
5.13    3.33
6.39    3.15
7.19    3.04
8.13    2.89
8.93    2.79
9.99    2.69
10.53   2.60
11.53   2.50
12.29   2.42
13.19   2.33
14.29   2.21
15.29   2.17
16.49   2.03
18.13   1.85
19.53   1.76
20.99   1.64
23.39   1.47
25.39   1.35
27.29   1.24
29.09   1.15
31.59   1.04
33.99   0.93
35.79   0.85
37.99   0.78
41.39   0.67
43.39   0.61
46.69   0.53
50.49   0.44
55.79   0.35
61.59   0.28
65.59   0.23
67.59   0.21    
