# Associação em série

# Capacitâncias medidas com capacímetro:
# INSERIR AQUI

# tempo (s)   tensão (V)
0.59    0.07
1.19    0.31
1.59    0.53
2.39    0.94
2.99    1.31
3.49    1.48
4.19    1.79
4.79    1.93
5.39    2.19
6.19    2.43
7.19    2.64
7.99    2.83
8.53    3.00
9.59    3.15
11.09   3.41
12.59   3.61
14.39   3.78
16.13   3.95
17.79   4.05
19.59   4.15
22.29   4.24
24.49   4.31
28.59   4.38
32.09   4.42
35.99   4.44
40.79   4.46
