# Capacitor de 1000uF
# Tempo      # Tensao

1.99    0.06
2.69    0.09
3.49    0.12
4.13    0.14
4.99    0.17
5.13    0.19
5.89    0.22
6.99    0.25
8.19    0.30
9.39    0.35
11.19   0.43
13.09   0.50
15.39   0.57
16.69   0.66
19.53   0.73
21.99   0.81
24.29   0.89
26.79   0.97
28.79   1.03
31.99   1.13
34.79   1.22
36.69   1.28
39.39   1.34
42.19   1.42
45.49   1.52
48.89   1.61
52.49   1.70
56.53   1.80
59.99   1.88
64.49   1.98
68.39   2.07
73.19   2.17
76.79   2.24
80.53   2.31
85.79   2.42
92.29   2.53
97.29   2.61
104.99  2.73
112.39  2.84
120.33  2.95
128.49  3.05
136.99  3.16
146.53  3.26
157.53  3.37
170.59  3.48
173.59  3.51

