# Curva de descarga
# Resistor de 100 k ohm, capacitor de 220 uF

# tempo (s)  tensão (V)
0.00    4.17
1.49    3.94
2.39    3.73
3.49    3.44
4.53    3.18
5.23    3.01
6.13    2.86
6.99    2.71
7.59    2.57
8.53    2.43
9.69    2.25
10.79   2.19
11.69   1.97
12.89   1.82
13.69   1.72
14.79   1.64
16.29   1.47
18.19   1.29
20.29   1.13
22.19   0.99
24.53   0.84
25.89   0.78
27.69   0.68
29.29   0.61
31.53   0.54
33.39   0.47
35.93   0.40
39.03   0.32
42.29   0.26
46.29   0.20
