#resistor (nominal=4.7) 5.5 ohm
#0.50 A --- 0.3V
#cm   mili
21e-2 -27.4e-3
20e-2 -27.6e-3
19e-2 -27.8e-3
18e-2 -28.0e-3
17e-2 -28.1e-3
16e-2 -28.3e-3
15e-2 -28.5e-3
14e-2 -28.7e-3
13e-2 -28.9e-3
12e-2 -29.1e-3
11e-2 -29.3e-3
10e-2 -29.5e-3
9e-2  -29.6e-3
8e-2  -29.8e-3
7e-2  -30.0e-3
6e-2  -30.2e-3
5e-2  -30.4e-3
4e-2  -30.6e-3
3e-2  -30.8e-3
2e-2  -31.0e-3
