#resistor (nominal=4.7) 5.5 ohm
#0.50 A --- 0.3V
#cm   mili
#60e-2 -23.5e-3
59e-2 -24.3e-3
58e-2 -24.3e-3
57e-2 -24.4e-3
56e-2 -24.5e-3
55e-2 -24.5e-3
54e-2 -24.6e-3
53e-2 -24.7e-3
52e-2 -24.7e-3
51e-2 -24.8e-3
50e-2 -24.9e-3
49e-2 -24.9e-3
48e-2 -25.0e-3
47e-2 -25.1e-3
46e-2 -25.1e-3
45e-2 -25.2e-3
44e-2 -25.3e-3
43e-2 -25.3e-3
42e-2 -25.4e-3
