1.000000000000000082e-05 1.933502663474748051e-12
5.000970588235294223e-02 1.629634392487283919e-08
1.000094117647058745e-01 5.913607162554727198e-08
1.500091176470588206e-01 1.717642487083389800e-07
2.000088235294117667e-01 4.678585177339496307e-07
2.500085294117647128e-01 1.246205423235926741e-06
3.000082352941176311e-01 3.291823044855400921e-06
3.500079411764706050e-01 8.665362102763713738e-06
4.000076470588235233e-01 2.276432544045991417e-05
4.500073529411764417e-01 5.965366052338003013e-05
5.000070588235293600e-01 1.555305248829343405e-04
5.500067647058822784e-01 4.007834553231241358e-04
6.000064705882351968e-01 1.005191812596763429e-03
6.500061764705881151e-01 2.375874799663000355e-03
7.000058823529411445e-01 5.006790219903379038e-03
7.500055882352940628e-01 8.842081441187674834e-03
8.000052941176469812e-01 1.283195428219983947e-02
8.500049999999998995e-01 1.597718661488823494e-02
9.000047058823528179e-01 1.818288270072244972e-02
9.500044117647058473e-01 1.979066859435685624e-02
1.000004117647058877e+00 2.109649789454395505e-02
1.050003823529411795e+00 2.226456224887332636e-02
1.100003529411764713e+00 2.337256335833029844e-02
1.150003235294117632e+00 2.445493713356725052e-02
1.200002941176470550e+00 2.552650203109309984e-02
1.250002647058823468e+00 2.659354095650558192e-02
1.300002352941176387e+00 2.765869472919689834e-02
1.350002058823529527e+00 2.872306667463000660e-02
1.400001764705882445e+00 2.978711558381727520e-02
1.450001470588235364e+00 3.085103146779327732e-02
1.500001176470588282e+00 3.191489274010820415e-02
1.550000882352941201e+00 3.297873165561662073e-02
1.600000588235294119e+00 3.404256144267826800e-02
1.650000294117647037e+00 3.510638751159824572e-02
1.699999999999999956e+00 3.617021206950711554e-02
